dataset,model,decile,n_obs,predicted_mean,actual_mean,predicted_p50,actual_p50
saas,GLMM-Naive,9,2700,5.737009297518572,7.708334688328808,5.672025503161232,6.854739839353499
saas,GLMM-Naive,10,2700,9.169067948263546,14.294097894220299,8.21723127730781,11.219561989401164
saas,GLMM-Oracle,1,2700,0.366189365232442,2.531234998662772,0.3711515563332318,2.4021082312748936
saas,GLMM-Oracle,2,2700,0.8107322250038081,4.010094881967512,0.8001802225765188,3.8434716094390753
saas,GLMM-Oracle,3,2700,1.5135001907646024,4.85208138317045,1.5174397839652443,4.519707446744779
saas,GLMM-Oracle,4,2700,2.1291099290342927,3.4903718668823784,2.137425316559116,2.5602220334632744
saas,GLMM-Oracle,5,2700,2.5515586941500428,3.7677451808399955,2.554303648175756,3.0949605864605756
saas,GLMM-Oracle,6,2700,3.0103733569182514,4.196696406431767,3.008770878021176,3.6557628367295125
saas,GLMM-Oracle,7,2698,3.5637657397212186,4.895782976902432,3.5532861392498765,4.29389487002765
saas,GLMM-Oracle,8,2702,4.317712682785325,5.883777394431879,4.305452480682741,5.3511774999827875
saas,GLMM-Oracle,9,2700,5.585126618540597,7.543285868927884,5.532803087381003,6.90743648903549
saas,GLMM-Oracle,10,2700,10.552752107178218,14.670620832542328,8.698137632387244,11.607180285510605
linear,TreeMMM,1,2700,8.642929268865744,8.633569043767102,8.924215578248393,8.770601712872605
linear,TreeMMM,2,2700,11.740328170084906,11.772123892289684,11.809121269248857,11.758611356808272
linear,TreeMMM,3,2700,13.72246985535187,13.712563481499778,13.730704521211496,13.746015373111483
linear,TreeMMM,4,2700,15.462168483126593,15.434588977654238,15.471317590288667,15.440869707600744
linear,TreeMMM,5,2700,17.09704711947203,17.085301539496935,17.097264399694986,17.081187874375587
linear,TreeMMM,6,2700,18.68337903538922,18.70301990278525,18.66249315664456,18.681794396167447
linear,TreeMMM,7,2700,20.34772387453924,20.371085250763606,20.352527833775447,20.391873016280492
linear,TreeMMM,8,2700,22.074357146852098,22.11252689529015,22.07822063075344,22.130264591171866
