dataset,prior_scale,variable,share_mean,share_sd,share_ci5,share_ci95,coef_mean_z,coef_sd_z,coef_ci5_z,coef_ci95_z,n_divergences,min_ess_bulk,max_rhat,holdout_r2,holdout_wmape
saas,1.0,paid_search,0.0753977760230609,0.0022058424874136064,0.07190937451225012,0.07898200862373833,0.08107406098979573,0.002495998280795706,0.07690136547251245,0.08520079569607618,0,3565.0,1.0,0.31108148223766297,0.47576594366843517
saas,1.0,event_attendance,0.34521301749606564,0.002180069072364972,0.34154772705477787,0.348547910270035,0.3519257945729563,0.0025701930239390948,0.3477572757993884,0.35610835549991815,0,3565.0,1.0,0.31108148223766297,0.47576594366843517
saas,1.0,csm_meetings,0.23964800439849554,0.002183447252628522,0.2364215391242107,0.2432073230743947,0.2676979500015706,0.002708657467471422,0.2631972195518356,0.2721771612321261,0,3565.0,1.0,0.31108148223766297,0.47576594366843517
saas,2.0,sdr_outreach,0.12742097398629817,0.0022343631572921754,0.12392923645181846,0.13077690611126988,0.13666739664139096,0.0025591075082367436,0.1324361049350618,0.14090493912998453,0,3402.0,1.01,0.311202678106672,0.47569880251363666
saas,2.0,content_downloads,0.2113352010851717,0.0022915383211372263,0.2073913788517263,0.21515374544962101,0.22377113760578515,0.002644475363248178,0.21938429669840925,0.2281041478930364,0,3402.0,1.01,0.311202678106672,0.47569880251363666
saas,2.0,paid_search,0.07568094719027388,0.002101512374089537,0.07237966163444247,0.07913181269733077,0.08106937779934766,0.0024803060391939045,0.07695986188896341,0.08522819840054872,0,3402.0,1.01,0.311202678106672,0.47569880251363666
saas,2.0,event_attendance,0.34555845822400644,0.00232387772198962,0.3419912654606999,0.3495363290338145,0.3519616198574134,0.002634442499126603,0.34761276328556784,0.356164555221119,0,3402.0,1.01,0.311202678106672,0.47569880251363666
saas,2.0,csm_meetings,0.2400044195142498,0.001961504718619334,0.23645404663723496,0.24320062618454352,0.2677010080330497,0.002606920177943359,0.26339005899127615,0.2719084639265708,0,3402.0,1.01,0.311202678106672,0.47569880251363666
linear,0.5,channel_a,0.5705462017118258,0.00022644670450543188,0.570190818444347,0.5709022825138669,0.8399842236643544,0.00040159536464655566,0.839325786181346,0.8406257314469624,0,10575.0,1.0,0.983384838511515,0.031930669868171224
linear,0.5,channel_b,0.3097798773485356,0.00021280905311241678,0.3094255157805945,0.31013179845069627,0.45714366824209024,0.00039540270977226705,0.4564942672136086,0.4577962577685796,0,10575.0,1.0,0.983384838511515,0.031930669868171224
linear,0.5,channel_c,0.11967392093963859,0.00022892353869174078,0.1192983650139097,0.12004435220390912,0.17712913794548202,0.0003945402534584024,0.17648726943575538,0.1777688107218891,0,10575.0,1.0,0.983384838511515,0.031930669868171224
linear,1.0,channel_a,0.570548600032006,0.00022248500939955166,0.5701853978593021,0.5709040710497245,0.8399857775836391,0.00038665485853507046,0.839353549940386,0.8406318422672089,0,9620.0,1.0,0.9833865922005373,0.031930066773858415
linear,1.0,channel_b,0.30979972706569403,0.00020358976273922432,0.30945943172918655,0.31014286538267744,0.4571470775900942,0.0003878703884045137,0.45650311924731923,0.4577803471490049,0,9620.0,1.0,0.9833865922005373,0.031930066773858415
linear,1.0,channel_c,0.11965167290229992,0.0002105111066942818,0.11933334774646508,0.11999697066550351,0.17713285946119303,0.00038304372134166247,0.17650511854126952,0.17775975430132523,0,9620.0,1.0,0.9833865922005373,0.031930066773858415
linear,2.0,channel_a,0.570542548943689,0.0002325116100995942,0.5701629745880626,0.5709181032318509,0.8399899494126066,0.00038298345076502886,0.8393692323442558,0.8406210275553434,0,9282.0,1.0,0.9833873726535909,0.03192832653378353
linear,2.0,channel_b,0.3097897880613671,0.00020404851447273952,0.30946676020829617,0.31013875627275267,0.45714216997700785,0.00038917678602712623,0.4565030410926437,0.4577743482446917,0,9282.0,1.0,0.9833873726535909,0.03192832653378353
linear,2.0,channel_c,0.11966766299494384,0.00022545747905380016,0.11928420541129821,0.12000876932228466,0.17712913674965255,0.00038912525832856057,0.17647854832171989,0.1777747910564809,0,9282.0,1.0,0.9833873726535909,0.03192832653378353
